
2023/01/20 (04:23:43) | ===> btop++ v.1.2.13
2023/01/20 (04:23:43) | INFO: Logger set to INFO

2023/01/20 (07:27:44) | ===> btop++ v.1.2.13
2023/01/20 (07:27:44) | WARNING: Failed to join _runner thread on exit!
2023/01/20 (07:27:44) | ERROR: No response from Runner thread, quitting!

2024/03/19 (21:19:57) | ===> btop++ v.1.3.2
2024/03/19 (21:19:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/04/16 (09:45:41) | ===> btop++ v.1.3.2
2024/04/16 (09:45:41) | ERROR: Stall in Runner thread, restarting!

2024/09/20 (11:24:10) | ===> btop++ v.1.3.2
2024/09/20 (11:24:10) | ERROR: Stall in Runner thread, restarting!

2024/09/20 (11:26:21) | ===> btop++ v.1.3.2
2024/09/20 (11:26:21) | ERROR: Stall in Runner thread, restarting!
